ow-hw  612.98   0.957	
hw-hw   15.17   1.514	
br-br   81.01   2.542	
br-c1  227.01   1.787	
br-c2  168.91   1.893	
br-c   146.48   1.946	
br-c3  134.73   1.978	
br-ca  162.15   1.908	
br-cc  172.53   1.885	
br-cx  154.63   1.926	
br-n1  141.51   1.860	
br-n2   88.47   2.038	
br-n   136.53   1.873	
br-n3  110.41   1.952	
br-n4  118.29   1.926	
br-na   96.95   2.002	
br-nh  112.77   1.944	
br-no   75.65   2.101	
br-o   193.58   1.800	
br-oh  160.87   1.866	
br-os  151.88   1.887	
br-p2  133.12   2.210	
br-p3  126.80   2.231	
br-p4  145.88   2.171	
br-p5  137.54   2.196	
br-s   169.20   2.220	
br-s4  128.80   2.341	
br-s6  171.57   2.214	
br-sh  173.58   2.209	
br-ss  176.02   2.203	
c1-c1  837.28   1.198	
c1-c2  535.85   1.307	
c1-c3  295.86   1.467	
c1-ca  325.62   1.440	
c1-ce  518.69   1.315	
c1-cg  776.82   1.216	
c1-ch  765.43   1.219	
c1-cl  261.49   1.631	
c1-cx  320.55   1.444	
c1-f   482.19   1.270	
c1-ha  433.72   1.067	
c1-hc  448.21   1.060	
c1-i   153.51   1.989	
c1-n1  891.54   1.153	
c1-n2  736.75   1.197	
c1-n3  400.99   1.347	
c1-n4  309.65   1.417	
c1-n   428.86   1.330	
c1-na  379.52   1.362	
c1-ne  720.51   1.202	
c1-nf  720.51   1.202	
c1-nh  409.04   1.342	
c1-no  323.48   1.405	
c1-o   794.98   1.172	
c1-oh  422.21   1.326	
c1-os  435.38   1.318	
c1-p2  215.98   1.770	
c1-p3  203.86   1.790	
c1-p4  203.86   1.790	
c1-p5  226.96   1.753	
c1-s2  380.51   1.595	
c1-s   370.61   1.603	
c1-s4  239.03   1.746	
c1-s6  256.65   1.722	
c1-sh  291.39   1.680	
c1-ss  282.80   1.690	
c2-c2  481.83   1.334	
c2-c3  255.56   1.510	
c2-ca  398.37   1.385	
c2-cc  437.98   1.359	
c2-cd  437.98   1.359	
c2-ce  460.51   1.346	
c2-cf  460.51   1.346	
c2-cl  192.70   1.731	
c2-cu  500.05   1.325	
c2-cx  278.37   1.485	
c2-cy  255.91   1.509	
c2-f   368.08   1.339	
c2-h4  394.23   1.087	
c2-h5  386.13   1.091	
c2-ha  392.18   1.088	
c2-hc  393.86   1.087	
c2-hx  401.39   1.083	
c2-i    98.09   2.170	
c2-n1  470.94   1.306	
