c  12.01         0.616
c1 12.01         0.360
c2 12.01         0.360
c3 12.01         0.878
ca 12.01         0.360
cp 12.01         0.360
cq 12.01         0.360
cc 12.01         0.360
cd 12.01         0.360
ce 12.01         0.360
cf 12.01         0.360
cg 12.01         0.360
ch 12.01         0.360
cx 12.01         0.360
cy 12.01         0.360
cu 12.01         0.360
cv 12.01         0.360
cz 12.01         0.360
h1 1.008         0.135
h2 1.008         0.135
h3 1.008         0.135
h4 1.008         0.135
h5 1.008         0.135
ha 1.008         0.135
hc 1.008         0.135
hn 1.008         0.161
ho 1.008         0.135
hp 1.008         0.135
hs 1.008         0.135
hw 1.008         0.135
hx 1.008         0.135
f  19.00         0.320
cl 35.45         1.910
br 79.90         2.880
i  126.9         4.690
n  14.01         0.530
n1 14.01         0.530
n2 14.01         0.530
n3 14.01         0.530
n4 14.01         0.530
na 14.01         0.530
nb 14.01         0.530
nc 14.01         0.530
nd 14.01         0.530
ne 14.01         0.530
nf 14.01         0.530
nh 14.01         0.530
no 14.01         0.530
o  16.00         0.434
oh 16.00         0.465
os 16.00         0.465
ow 16.00         0.465
p2 30.97         1.538
p3 30.97         1.538
p4 30.97         1.538
p5 30.97         1.538
pb 30.97         1.538
pc 30.97         1.538
pd 30.97         1.538
pe 30.97         1.538
pf 30.97         1.538
px 30.97         1.538
py 30.97         1.538
s  32.06         2.900
s2 32.06         2.900
s4 32.06         2.900
s6 32.06         2.900
sh 32.06         2.900
ss 32.06         2.900
sx 32.06         2.900
sy 32.06         2.900
Pd 106.42        2.050
1s 32.065        2.900 
1i 126.90        4.690         
1n 14.010        0.530 
1o 16.000        0.465 
1p 30.973        1.538 
1c 35.450        1.910 
1d 12.010        0.360 #ca
2d 12.010        0.360
3d 12.010        0.360
4d 12.010        0.360
2s 32.065        2.900 
2i 126.90        4.690         
2n 14.010        0.530 
2o 16.000        0.465 
2p 30.973        1.538 
2c 35.450        1.910 
3s 32.065        2.900 
3i 126.90        4.690         
3n 14.010        0.530 
3o 16.000        0.465 
3p 30.973        1.538 
3c 35.450        1.910
4s 32.065        2.900 
4i 126.90        4.690         
4n 14.010        0.530 
4o 16.000        0.465 
4p 30.973        1.538 
4c 35.450        1.910 
1e 12.010        0.616  #c 
2e 12.010        0.616  
3e 12.010        0.616  
4e 12.010        0.616  
